planning_status_normalized,num_records,share_of_records,avg_project_momentum_score,avg_ml_advancement_score,avg_data_confidence_score,avg_source_strength_score
CONSTRUCTION,54,0.057569296375266525,95.34444444444445,76.81666666666668,99.81481481481481,99.53703703703704
PERMIT_APPROVED,173,0.18443496801705758,90.65895953757226,80.95028901734103,99.47976878612717,98.69942196531792
PLAN_APPROVED,325,0.3464818763326226,80.1923076923077,61.495384615384616,99.44615384615385,98.61538461538461
PLAN_IN_PROGRESS,385,0.41044776119402987,62.99090909090909,33.3612987012987,97.71428571428571,94.41558441558442
UNKNOWN,1,0.0010660980810234541,0.0,36.0,60.0,75.0
