source_name,file_path,num_rows,num_columns,columns,missing_ratio_mean,has_city_like_column,has_street_like_column,has_plan_like_column,has_status_like_column,has_units_like_column,has_geometry_like_column
data.gov.il - מתחמי התחדשות עירונית,data\raw\data_gov_f65a0daf-f737-49c5-9424-d378d52104f5_records.csv,938,17,"[""_id"", ""MisparMitham"", ""Yeshuv"", ""SemelYeshuv"", ""ShemMitcham"", ""YachadKayam"", ""YachadTosafti"", ""YachadMutza"", ""TaarichHachraza"", ""MisparTochnit"", ""KishurLatar"", ""SachHeterim"", ""KishurLaMapa"", ""Maslul"", ""ShnatMatanTokef"", ""Bebitzua"", ""Status""]",0.0005016932145992725,False,False,False,True,False,True
מלאי תכנוני למגורים,data\raw\data_gov_99aad98f-2b54-4eea-834d-650b56389bf3_records.csv,1112,14,"[""_id"", ""מפתח לפוליגון תכנית"", ""מספר תוכנית"", ""שם תוכנית"", ""שלב תכנוני"", ""יזם תכנון"", ""סמל יישוב"", ""יישוב"", ""תאריך קיום תנאי סף"", ""תאריך פרסום להפקדה ברשומות"", ""תאריך פרסום לאישור ברשומות"", ""קישור לאתר רשות מקרקעי ישראל"", ""קישור לאתר מנהל תכנון"", ""יחד פוטנציאל לשיווק""]",0.0,True,False,True,True,False,False
browser_export_f65a0daf-f737-49c5-9424-d378d52104f5,data\manual_sources\data_gov_f65a0daf_records.json,938,17,"[""_id"", ""MisparMitham"", ""Yeshuv"", ""SemelYeshuv"", ""ShemMitcham"", ""YachadKayam"", ""YachadTosafti"", ""YachadMutza"", ""TaarichHachraza"", ""MisparTochnit"", ""KishurLatar"", ""SachHeterim"", ""KishurLaMapa"", ""Maslul"", ""ShnatMatanTokef"", ""Bebitzua"", ""Status""]",0.0005016932145992725,False,False,False,True,False,True
