feature_set,model,accuracy,precision,recall,f1,roc_auc,train_rows,test_rows,notes
original_feature_set,LogisticRegression,0.7617021276595745,0.91,0.6594202898550725,0.7647058823529411,0.8694158075601375,703,235,Indicative ML similarity classifier only; target is derived from public planning status. Original cautious feature set retained for comparison; includes permit and validity-year public status proxies.
original_feature_set,RandomForestClassifier,0.9574468085106383,0.9637681159420289,0.9637681159420289,0.9637681159420289,0.9908112953832362,703,235,Indicative ML similarity classifier only; target is derived from public planning status. Original cautious feature set retained for comparison; includes permit and validity-year public status proxies.
leakage_safe_feature_set,LogisticRegression,0.6595744680851063,0.75,0.6304347826086957,0.6850393700787402,0.774914089347079,703,235,Indicative ML similarity classifier only; target is derived from public planning status. Dashboard feature set; status and strong permit/status proxy features excluded.
leakage_safe_feature_set,RandomForestClassifier,0.8468085106382979,0.8923076923076924,0.8405797101449275,0.8656716417910447,0.9190945764231285,703,235,Indicative ML similarity classifier only; target is derived from public planning status. Dashboard feature set; status and strong permit/status proxy features excluded.
